trade_id,trader_id,symbol,buy_date,sell_date,buy_value,sell_value,quantity,pnl
57,2,NFLX,2023-03-01,2023-03-08,11184.26,11592.0,36,407.74
58,2,INTC,2023-03-07,2023-03-18,15568.29,17015.58,93,1447.28
59,2,NFLX,2023-03-12,2023-04-04,8506.82,9513.38,32,1006.56
60,2,MSFT,2023-03-22,2023-04-21,13359.85,13433.96,25,74.11
61,2,TSLA,2023-03-31,2023-04-08,14587.83,14523.9,46,-63.93
62,2,AAPL,2023-04-09,2023-04-27,18910.19,20619.72,94,1709.53
63,2,TSLA,2023-04-19,2023-05-15,9616.62,9868.59,8,251.97
64,2,GOOGL,2023-04-23,2023-05-21,18790.01,19393.42,14,603.41
65,2,NFLX,2023-05-01,2023-05-12,9905.84,10944.67,69,1038.84
66,2,META,2023-05-07,2023-05-16,17281.21,19453.02,24,2171.81
67,2,NFLX,2023-05-16,2023-06-04,8922.77,9304.18,10,381.42
68,2,AMD,2023-05-22,2023-06-21,14542.32,15901.3,7,1358.97
69,2,GOOGL,2023-05-26,2023-05-31,14429.78,13273.17,97,-1156.61
70,2,NFLX,2023-05-30,2023-06-09,9515.73,9294.51,63,-221.22
71,2,NVDA,2023-06-08,2023-06-19,9011.71,8855.17,8,-156.54
72,2,META,2023-06-17,2023-07-04,13530.5,12869.02,50,-661.48
73,2,TSLA,2023-06-20,2023-07-20,16859.52,16639.65,37,-219.87
74,2,GOOGL,2023-06-30,2023-07-27,13250.23,14639.84,20,1389.62
75,2,INTC,2023-07-10,2023-07-24,9429.89,8946.58,8,-483.31
76,2,AMZN,2023-07-16,2023-08-13,9916.01,9962.27,96,46.26
77,2,NFLX,2023-07-19,2023-07-25,9378.48,10428.26,75,1049.78
78,2,AMD,2023-07-22,2023-08-12,15386.81,14277.25,8,-1109.56
79,2,INTC,2023-07-27,2023-08-03,9441.63,9543.67,9,102.04
80,2,MSFT,2023-08-01,2023-08-08,19872.95,19238.73,52,-634.22
81,2,INTC,2023-08-07,2023-08-30,17490.09,16657.51,75,-832.58
82,2,INTC,2023-08-13,2023-08-19,12402.45,11657.69,54,-744.76
83,2,GOOGL,2023-08-17,2023-09-09,9507.63,9444.46,34,-63.17
84,2,META,2023-08-25,2023-09-20,10929.25,11003.04,31,73.79
85,2,META,2023-09-02,2023-09-19,13050.06,13460.85,86,410.78
86,2,MSFT,2023-09-07,2023-09-26,10422.58,10714.09,97,291.51
87,2,INTC,2023-09-15,2023-09-20,15452.16,16410.75,80,958.59
88,2,GOOGL,2023-09-25,2023-10-03,12756.55,12437.17,69,-319.37
89,2,AMZN,2023-09-29,2023-10-20,11942.04,12565.39,17,623.35
90,2,META,2023-10-06,2023-10-13,15005.8,15123.94,48,118.14
91,2,META,2023-10-12,2023-10-22,11520.69,11739.87,70,219.18
92,2,AMD,2023-10-22,2023-11-15,10192.61,10132.49,86,-60.12
93,2,META,2023-10-25,2023-11-08,10750.02,11777.65,18,1027.63
94,2,AMD,2023-10-29,2023-11-06,11108.64,10299.86,96,-808.79
95,2,INTC,2023-11-02,2023-11-11,9697.93,11151.38,37,1453.45
96,2,META,2023-11-09,2023-11-20,14778.59,15869.77,27,1091.17
97,2,AAPL,2023-11-17,2023-12-08,19687.04,19155.57,33,-531.47
98,2,AAPL,2023-11-27,2023-12-04,8265.88,8937.36,36,671.48
99,2,NVDA,2023-12-06,2023-12-11,11685.74,12171.77,99,486.02
100,2,NFLX,2023-12-14,2024-01-08,13422.33,13512.87,21,90.54
101,2,AAPL,2023-12-21,2024-01-12,8803.43,8710.34,72,-93.1
102,2,NVDA,2023-12-30,2024-01-07,10903.05,11037.38,89,134.33
103,2,INTC,2024-01-03,2024-01-25,13145.35,13701.81,48,556.46
104,2,NVDA,2024-01-06,2024-01-28,9422.35,8415.86,56,-1006.49
105,2,AAPL,2024-01-11,2024-01-17,7686.25,8433.47,47,747.22
106,2,GOOGL,2024-01-18,2024-02-03,14493.13,15140.42,88,647.3
107,2,AMD,2024-01-24,2024-02-19,16782.08,16501.24,46,-280.84
108,2,NVDA,2024-01-28,2024-02-15,13173.48,12541.02,31,-632.46
109,2,AAPL,2024-02-02,2024-03-03,13258.03,13205.98,53,-52.05
110,2,GOOGL,2024-02-07,2024-02-17,14510.62,14792.29,53,281.67
111,2,MSFT,2024-02-15,2024-02-28,11694.59,11766.94,90,72.35
112,2,GOOGL,2024-02-20,2024-03-08,18827.91,18922.15,61,94.25
113,2,META,2024-02-23,2024-03-05,11393.96,12372.81,45,978.85
114,2,AAPL,2024-03-04,2024-04-03,11049.81,11479.66,29,429.85
115,2,AMZN,2024-03-10,2024-04-05,10605.99,10809.95,52,203.96
116,2,META,2024-03-16,2024-03-29,15333.62,14389.49,99,-944.12
117,2,AMD,2024-03-20,2024-04-05,14451.97,14432.58,87,-19.39
118,2,META,2024-03-29,2024-04-13,8295.62,8205.55,15,-90.08
119,2,MSFT,2024-04-01,2024-04-11,11131.84,11978.65,5,846.82
120,2,AMZN,2024-04-08,2024-05-02,16784.4,16971.3,45,186.9
121,2,INTC,2024-04-17,2024-05-05,18342.93,19711.41,50,1368.48
122,2,TSLA,2024-04-21,2024-05-02,11718.72,11139.16,6,-579.56
123,2,TSLA,2024-04-28,2024-05-03,15555.86,15431.57,47,-124.29
124,2,AMZN,2024-05-04,2024-05-11,11927.18,12266.04,80,338.85
125,2,META,2024-05-12,2024-06-07,9552.28,10219.94,93,667.66
126,2,TSLA,2024-05-16,2024-06-06,12028.58,12511.76,86,483.17
127,2,META,2024-05-23,2024-06-07,19299.42,19826.73,90,527.31
128,2,TSLA,2024-06-01,2024-06-23,13404.59,14601.16,25,1196.57
129,2,NVDA,2024-06-06,2024-07-02,10927.14,11232.55,87,305.41
130,2,AMD,2024-06-15,2024-07-09,18205.93,18057.49,52,-148.45
131,2,GOOGL,2024-06-22,2024-06-27,14113.09,13866.02,37,-247.08
132,2,NFLX,2024-06-29,2024-07-17,9383.26,10442.26,60,1059.0
133,2,NFLX,2024-07-07,2024-07-26,16075.73,16153.4,66,77.67
134,2,MSFT,2024-07-13,2024-08-12,19270.82,19489.2,85,218.38
135,2,GOOGL,2024-07-18,2024-08-01,9150.96,8614.85,12,-536.1
136,2,GOOGL,2024-07-26,2024-08-21,16496.04,17926.71,29,1430.67
137,2,GOOGL,2024-08-02,2024-08-11,15713.48,16452.17,6,738.7
138,2,TSLA,2024-08-05,2024-08-25,16262.96,17531.58,59,1268.62
139,2,TSLA,2024-08-09,2024-09-03,12471.57,12915.14,92,443.57
140,2,NVDA,2024-08-15,2024-09-04,14346.21,14923.38,32,577.17
141,2,MSFT,2024-08-24,2024-09-18,16519.63,16946.09,97,426.47
142,2,NVDA,2024-08-27,2024-09-25,12018.5,12467.56,29,449.06
143,2,AMD,2024-09-05,2024-10-05,9508.74,9552.46,7,43.72
144,2,NVDA,2024-09-15,2024-09-27,12340.53,13452.38,59,1111.85
145,2,AMD,2024-09-19,2024-10-19,14849.5,15234.23,86,384.73
146,2,NFLX,2024-09-29,2024-10-21,13145.06,13007.45,97,-137.62
147,2,NFLX,2024-10-07,2024-10-31,16026.02,15886.57,71,-139.45
148,2,META,2024-10-16,2024-10-26,16792.47,17811.64,58,1019.17
149,2,META,2024-10-26,2024-11-24,16704.64,17158.99,82,454.35
150,2,GOOGL,2024-11-01,2024-11-30,11860.61,11647.4,81,-213.21
151,2,META,2024-11-11,2024-11-24,13416.85,14393.59,10,976.74
152,2,AMZN,2024-11-21,2024-12-03,15464.89,14887.47,43,-577.42
153,2,NVDA,2024-11-28,2024-12-20,8613.42,8348.96,18,-264.46
154,2,NVDA,2024-12-02,2024-12-14,8909.68,9636.85,89,727.17
155,2,TSLA,2024-12-11,2025-01-07,16964.77,18363.73,9,1398.97
156,2,NFLX,2024-12-17,2025-01-04,13508.95,14449.16,70,940.21
157,2,TSLA,2024-12-25,2025-01-12,16614.9,17273.98,27,659.08
158,2,INTC,2024-12-28,2025-01-14,11819.69,12382.03,98,562.34
159,2,AMZN,2024-12-31,2025-01-17,8339.36,8162.22,1,-177.13
160,2,AMD,2025-01-10,2025-01-24,11163.79,12371.58,54,1207.79
161,2,GOOGL,2025-01-19,2025-02-16,14470.97,14963.59,63,492.62
162,2,AAPL,2025-01-25,2025-02-07,14967.99,16522.94,63,1554.95
163,2,TSLA,2025-02-03,2025-02-20,17469.42,18293.57,86,824.15
164,2,NVDA,2025-02-11,2025-03-11,12387.45,10843.04,60,-1544.42
165,2,INTC,2025-02-16,2025-03-12,14573.11,15042.29,51,469.18
166,2,TSLA,2025-02-19,2025-03-14,12305.71,12678.91,11,373.2
167,2,AAPL,2025-02-22,2025-03-03,9180.63,9643.82,24,463.19
168,2,GOOGL,2025-03-04,2025-03-17,9780.64,10127.92,42,347.29
169,2,TSLA,2025-03-13,2025-04-01,8178.75,8669.62,44,490.87
170,2,MSFT,2025-03-21,2025-04-03,13213.91,14325.09,33,1111.18
171,2,AMD,2025-03-30,2025-04-19,10866.97,11215.71,96,348.74
172,2,MSFT,2025-04-02,2025-04-08,18957.84,20812.91,29,1855.07
173,2,AAPL,2025-04-10,2025-05-09,9434.77,10416.15,97,981.38
174,2,INTC,2025-04-13,2025-04-25,9805.43,9475.97,3,-329.46
175,2,NFLX,2025-04-19,2025-04-28,14322.09,14781.46,17,459.37
176,2,GOOGL,2025-04-25,2025-05-21,16571.19,17516.7,73,945.51
177,2,AMZN,2025-04-29,2025-05-18,11507.8,12518.02,99,1010.22
178,2,NVDA,2025-05-06,2025-05-16,9909.45,9827.06,100,-82.39
179,2,AAPL,2025-05-10,2025-05-24,12655.17,11969.87,75,-685.3
180,2,GOOGL,2025-05-14,2025-05-28,14824.91,17180.33,51,2355.42
181,2,META,2025-05-23,2025-05-30,11847.77,11630.82,14,-216.95
182,2,AAPL,2025-05-29,2025-06-24,16155.81,15964.96,73,-190.85
183,2,AMZN,2025-06-02,2025-06-18,11217.77,11589.48,85,371.71
184,2,TSLA,2025-06-11,2025-06-18,13691.07,14246.88,2,555.81
185,2,AMZN,2025-06-19,2025-07-09,9080.43,9461.64,56,381.2
186,2,NVDA,2025-06-23,2025-07-18,14564.23,14083.28,91,-480.94
187,2,AMD,2025-07-03,2025-07-21,15978.66,15929.21,94,-49.45
188,2,AMD,2025-07-08,2025-08-02,16483.88,17090.25,79,606.36
189,2,TSLA,2025-07-15,2025-08-13,14905.9,14454.69,60,-451.21
190,2,GOOGL,2025-07-25,2025-08-22,12816.5,14333.15,42,1516.65
191,2,GOOGL,2025-08-01,2025-08-08,9997.65,9753.91,58,-243.73
192,2,INTC,2025-08-08,2025-09-06,9197.31,9116.16,73,-81.15
193,2,AAPL,2025-08-18,2025-09-13,12861.27,13661.12,44,799.85
194,2,NFLX,2025-08-27,2025-09-16,15550.96,16063.93,24,512.97
195,2,AMZN,2025-09-04,2025-09-15,9326.1,9446.83,34,120.73
196,2,AAPL,2025-09-12,2025-09-25,20351.86,21032.46,72,680.6
197,2,GOOGL,2025-09-19,2025-10-10,9789.74,10070.0,11,280.26
198,2,AMD,2025-09-25,2025-10-23,10095.97,9305.6,63,-790.37
199,2,NFLX,2025-10-04,2025-11-02,14049.86,14632.46,89,582.6
200,2,AAPL,2025-10-10,2025-11-04,18535.2,18481.9,58,-53.3
201,2,TSLA,2025-10-20,2025-10-27,10114.82,10380.1,29,265.28
202,2,INTC,2025-10-27,2025-11-23,15510.43,16535.6,40,1025.17
203,2,AMD,2025-11-02,2025-11-18,11250.76,11683.09,71,432.33
204,2,AMD,2025-11-12,2025-11-28,12037.31,10858.04,96,-1179.26
205,2,NFLX,2025-11-21,2025-12-06,8685.04,9068.41,90,383.38
206,2,GOOGL,2025-11-29,2025-12-12,14361.43,14549.39,33,187.96
207,2,MSFT,2025-12-06,2025-12-14,11889.78,10890.93,41,-998.86
208,2,GOOGL,2025-12-12,2026-01-09,17035.81,15730.37,25,-1305.44
209,2,INTC,2025-12-17,2026-01-14,12592.51,13043.58,36,451.07
210,2,GOOGL,2025-12-27,2026-01-25,9408.75,9485.97,13,77.23
211,3,AAPL,2023-01-01,2023-01-04,11253.12,12544.48,39,1291.36
212,3,AAPL,2023-01-01,2023-01-06,10904.67,12252.09,36,1347.42
213,3,NVDA,2023-01-01,2023-01-02,16668.15,16522.61,38,-145.53
214,3,INTC,2023-01-03,2023-01-07,5253.37,5129.46,2,-123.91
215,3,NFLX,2023-01-03,2023-01-06,12395.69,12138.15,62,-257.54
216,3,META,2023-01-04,2023-01-07,15128.34,15309.97,7,181.63
217,3,TSLA,2023-01-04,2023-01-08,16302.09,16071.94,9,-230.16
218,3,AAPL,2023-01-04,2023-01-08,19969.31,20050.13,74,80.83
219,3,META,2023-01-04,2023-01-06,13273.82,13584.55,73,310.73
220,3,AMD,2023-01-04,2023-01-05,22196.5,21605.74,16,-590.75
221,3,INTC,2023-01-04,2023-01-08,21004.29,21093.33,77,89.04
222,3,NFLX,2023-01-06,2023-01-08,17014.76,16788.42,49,-226.34
223,3,TSLA,2023-01-08,2023-01-12,15287.07,16047.0,76,759.92
224,3,AAPL,2023-01-09,2023-01-12,8027.38,8238.04,80,210.67
225,3,GOOGL,2023-01-11,2023-01-16,15901.29,14818.61,13,-1082.68
226,3,MSFT,2023-01-13,2023-01-15,15005.23,15111.85,85,106.63
227,3,AMD,2023-01-14,2023-01-16,9503.41,9827.76,23,324.35
228,3,TSLA,2023-01-14,2023-01-15,11580.15,12044.21,1,464.06
229,3,NFLX,2023-01-14,2023-01-18,13551.04,15222.65,77,1671.61
230,3,META,2023-01-16,2023-01-19,11128.37,11512.53,30,384.16
231,3,MSFT,2023-01-16,2023-01-19,19844.21,20015.08,59,170.87
232,3,INTC,2023-01-18,2023-01-20,6254.61,5541.25,81,-713.35
233,3,AMD,2023-01-19,2023-01-21,17658.58,18211.97,15,553.39
234,3,META,2023-01-20,2023-01-22,8115.84,8901.92,20,786.08
235,3,NVDA,2023-01-22,2023-01-24,9528.27,9047.21,8,-481.06
236,3,INTC,2023-01-22,2023-01-25,13768.62,14713.99,96,945.37
237,3,NFLX,2023-01-24,2023-01-27,18919.19,18544.33,16,-374.87
238,3,META,2023-01-25,2023-01-28,10929.23,11232.26,52,303.04
239,3,NFLX,2023-01-27,2023-02-01,5091.73,4482.49,64,-609.23
240,3,TSLA,2023-01-29,2023-01-30,17545.36,18591.5,6,1046.14
241,3,AAPL,2023-01-31,2023-02-03,8976.92,9589.72,33,612.8
242,3,INTC,2023-02-02,2023-02-03,19970.07,19617.64,87,-352.43
243,3,META,2023-02-02,2023-02-07,7116.58,6269.57,98,-847.02
244,3,NVDA,2023-02-02,2023-02-07,12706.67,13415.96,98,709.29
245,3,NFLX,2023-02-02,2023-02-06,18526.92,17583.94,84,-942.98
246,3,TSLA,2023-02-04,2023-02-07,10100.66,11289.79,75,1189.12
247,3,AMZN,2023-02-04,2023-02-08,14377.13,15231.01,61,853.87
248,3,MSFT,2023-02-04,2023-02-08,11328.02,10474.64,42,-853.38
249,3,NFLX,2023-02-05,2023-02-07,20846.39,22204.23,53,1357.84
250,3,AMD,2023-02-06,2023-02-09,9763.19,10267.88,52,504.69
251,3,AMZN,2023-02-08,2023-02-09,7833.5,8027.63,12,194.13
252,3,TSLA,2023-02-09,2023-02-12,19523.09,20475.91,15,952.81
253,3,AMD,2023-02-10,2023-02-15,7383.5,7874.14,85,490.65
254,3,GOOGL,2023-02-10,2023-02-14,14826.81,16397.03,7,1570.22
255,3,NFLX,2023-02-11,2023-02-16,9722.31,10121.18,80,398.87
256,3,META,2023-02-12,2023-02-16,14100.8,14013.78,27,-87.02
257,3,NFLX,2023-02-12,2023-02-17,15589.22,15596.17,37,6.94
258,3,INTC,2023-02-12,2023-02-16,9470.29,9907.79,4,437.5
259,3,META,2023-02-12,2023-02-14,17031.5,16441.71,21,-589.79
260,3,TSLA,2023-02-14,2023-02-19,19619.84,20691.8,71,1071.96
261,3,NFLX,2023-02-14,2023-02-15,7190.18,7842.88,15,652.7
262,3,NFLX,2023-02-14,2023-02-15,20400.59,20826.28,20,425.69
263,3,META,2023-02-16,2023-02-19,19929.51,19679.79,91,-249.72
264,3,GOOGL,2023-02-18,2023-02-22,6427.11,7236.33,61,809.22
265,3,TSLA,2023-02-19,2023-02-23,9647.43,10153.45,19,506.01
266,3,NVDA,2023-02-21,2023-02-23,7339.36,8053.84,66,714.49
267,3,TSLA,2023-02-23,2023-02-24,20525.21,16829.02,99,-3696.19
268,3,AAPL,2023-02-24,2023-02-27,19810.19,22343.55,35,2533.36
269,3,INTC,2023-02-26,2023-03-01,9459.99,9388.29,39,-71.7
270,3,NVDA,2023-02-28,2023-03-05,17809.79,18082.28,63,272.49
271,3,AMZN,2023-03-02,2023-03-06,11099.37,10944.44,62,-154.93
272,3,AMD,2023-03-04,2023-03-07,8969.11,9485.53,98,516.42
273,3,GOOGL,2023-03-06,2023-03-10,12910.77,12645.25,42,-265.52
274,3,GOOGL,2023-03-07,2023-03-09,15760.05,14955.45,50,-804.61
275,3,NFLX,2023-03-09,2023-03-13,12057.0,12662.36,41,605.35
276,3,NVDA,2023-03-09,2023-03-13,8188.75,8264.77,85,76.02
277,3,AMD,2023-03-10,2023-03-14,12407.55,12429.25,17,21.7
278,3,NFLX,2023-03-10,2023-03-15,22328.11,21759.69,13,-568.42
279,3,AAPL,2023-03-11,2023-03-12,18399.5,19659.9,59,1260.4
280,3,NVDA,2023-03-13,2023-03-15,5531.75,5526.03,84,-5.72
281,3,AMZN,2023-03-14,2023-03-15,7690.12,8352.25,34,662.13
282,3,MSFT,2023-03-15,2023-03-20,15247.75,17390.66,51,2142.91
283,3,TSLA,2023-03-17,2023-03-20,21549.5,20489.88,69,-1059.62
284,3,NFLX,2023-03-19,2023-03-22,18316.59,16369.62,92,-1946.98
285,3,MSFT,2023-03-21,2023-03-26,19055.25,20374.61,80,1319.36
286,3,META,2023-03-21,2023-03-23,17313.8,16775.59,88,-538.21
287,3,TSLA,2023-03-23,2023-03-25,14653.24,14455.43,12,-197.81
288,3,MSFT,2023-03-25,2023-03-26,5765.94,5889.03,91,123.09
289,3,META,2023-03-27,2023-03-31,8645.83,9129.45,89,483.62
290,3,AAPL,2023-03-27,2023-03-28,11172.52,12115.05,42,942.53
291,3,TSLA,2023-03-27,2023-03-30,20263.93,18264.32,48,-1999.61
292,3,TSLA,2023-03-28,2023-03-30,11648.21,11114.88,68,-533.33
293,3,NVDA,2023-03-28,2023-04-02,13415.51,12640.58,24,-774.93
294,3,TSLA,2023-03-30,2023-04-01,10006.83,10431.59,79,424.76
295,3,NFLX,2023-03-30,2023-04-04,16224.84,16469.94,31,245.1
296,3,NFLX,2023-04-01,2023-04-06,18384.98,18850.14,30,465.16
297,3,AAPL,2023-04-01,2023-04-04,14524.35,14610.72,33,86.37
298,3,AMD,2023-04-02,2023-04-06,17022.5,20129.46,87,3106.97
299,3,AMZN,2023-04-03,2023-04-05,17444.66,18040.33,57,595.67
300,3,TSLA,2023-04-03,2023-04-08,18294.55,16404.8,82,-1889.75
301,3,GOOGL,2023-04-04,2023-04-07,14676.66,14490.11,39,-186.56
302,3,GOOGL,2023-04-05,2023-04-09,8531.3,8671.29,14,140.0
303,3,INTC,2023-04-06,2023-04-10,19685.09,21684.11,46,1999.02
304,3,AAPL,2023-04-08,2023-04-11,6553.22,6174.01,38,-379.21
305,3,INTC,2023-04-10,2023-04-14,21902.28,19510.7,2,-2391.58
306,3,NFLX,2023-04-11,2023-04-12,5345.82,5526.54,96,180.71
307,3,AMZN,2023-04-13,2023-04-16,21685.19,21497.78,78,-187.41
308,3,INTC,2023-04-13,2023-04-15,22468.08,19265.29,25,-3202.79
309,4,AAPL,2023-01-01,2023-01-02,15854.98,15716.67,83,-138.31
310,4,INTC,2023-01-03,2023-01-06,14723.47,15231.52,5,508.05
311,4,MSFT,2023-01-04,2023-01-07,8833.62,8987.56,17,153.94
312,4,TSLA,2023-01-06,2023-01-09,5762.47,5960.06,96,197.58
313,4,AMD,2023-01-07,2023-01-09,9166.78,8882.05,17,-284.74
314,4,META,2023-01-07,2023-01-10,14544.92,14946.94,65,402.03
315,4,META,2023-01-09,2023-01-11,13090.35,14637.9,62,1547.56
316,4,MSFT,2023-01-10,2023-01-13,8922.86,9062.79,60,139.93
317,4,TSLA,2023-01-10,2023-01-12,21290.3,19186.52,87,-2103.78
318,4,TSLA,2023-01-10,2023-01-15,17613.34,17988.11,12,374.76
319,4,MSFT,2023-01-11,2023-01-12,15130.21,16159.98,69,1029.77
320,4,META,2023-01-12,2023-01-16,16501.05,15475.98,87,-1025.07
321,4,AMZN,2023-01-13,2023-01-18,18627.86,17747.3,82,-880.56
322,4,NFLX,2023-01-14,2023-01-15,5489.97,4981.98,30,-507.99
323,4,AMZN,2023-01-16,2023-01-17,14753.79,15129.28,72,375.49
324,4,MSFT,2023-01-18,2023-01-23,20084.13,21809.4,83,1725.27
325,4,TSLA,2023-01-18,2023-01-22,6845.51,6647.45,39,-198.06
326,4,AAPL,2023-01-20,2023-01-21,16102.43,16196.6,6,94.17
327,4,MSFT,2023-01-20,2023-01-23,11202.28,11814.83,15,612.56
328,4,TSLA,2023-01-21,2023-01-23,18085.32,18271.23,18,185.9
329,4,AMD,2023-01-23,2023-01-27,17383.06,17185.44,86,-197.62
330,4,NVDA,2023-01-24,2023-01-28,9237.4,9134.55,96,-102.86
331,4,NFLX,2023-01-26,2023-01-30,14442.78,14064.16,13,-378.62
332,4,AAPL,2023-01-28,2023-02-02,6204.3,5856.76,36,-347.54
333,4,NFLX,2023-01-29,2023-02-01,5467.81,5229.73,57,-238.08
334,4,AMZN,2023-01-29,2023-01-31,13142.87,13745.93,13,603.06
335,4,AAPL,2023-01-30,2023-02-04,15781.64,16750.94,46,969.3
336,4,MSFT,2023-02-01,2023-02-05,16288.12,16224.72,25,-63.39
337,4,GOOGL,2023-02-02,2023-02-06,12175.37,11986.82,85,-188.55
338,4,AMZN,2023-02-02,2023-02-07,6882.96,6732.69,7,-150.27
339,4,GOOGL,2023-02-02,2023-02-04,13082.82,12302.98,73,-779.84
340,4,INTC,2023-02-02,2023-02-03,14792.44,15419.91,27,627.48
341,4,NVDA,2023-02-04,2023-02-06,21811.29,24253.13,43,2441.83
342,4,NVDA,2023-02-04,2023-02-09,23540.51,22120.03,36,-1420.49
343,4,NVDA,2023-02-04,2023-02-06,12237.17,11438.78,33,-798.38
344,4,NVDA,2023-02-06,2023-02-07,21185.03,22039.93,4,854.9
345,4,INTC,2023-02-08,2023-02-09,9094.98,8354.87,31,-740.1
346,4,META,2023-02-09,2023-02-12,5333.32,5082.76,23,-250.55
347,4,TSLA,2023-02-09,2023-02-10,7615.61,8056.15,95,440.54
348,4,MSFT,2023-02-09,2023-02-14,11707.6,11703.19,96,-4.41
349,4,AMZN,2023-02-09,2023-02-13,22126.95,22336.94,100,209.99
350,4,NFLX,2023-02-10,2023-02-15,15122.58,14957.75,14,-164.83
351,4,AAPL,2023-02-12,2023-02-17,11203.62,12145.84,79,942.21
352,4,AAPL,2023-02-12,2023-02-17,20527.43,20686.35,59,158.93
353,4,TSLA,2023-02-13,2023-02-14,19833.56,20209.26,52,375.7
354,4,NFLX,2023-02-14,2023-02-15,17891.36,18181.13,92,289.76
355,4,INTC,2023-02-15,2023-02-16,20047.21,19738.3,42,-308.91
